transaction_id,customer_id,transaction_date,shipping_method,total_amount
e0aee43a-9b32-4fdc-b5be-50bc8b662b60,cb4ef4b2-9114-461c-97cf-2d8452bab9ae,2024-01-02T12:00:00+00:00,Overnight,1627.42
2a86617d-0b71-440e-b318-f81440bc245c,e4ce7fdb-7a84-4e9a-b469-a48f3d826c8f,2024-01-02T13:00:00+00:00,Two-Day,1199.91
ead51153-b4b0-4071-ab72-ce0eab53f6da,7230020c-774e-4802-aaea-fc84faf30c8a,2024-01-02T13:05:00+00:00,Standard,3989.94
170f8c30-ac07-4aa2-aab9-ddcb0bf39a84,39d3644a-10b9-4014-ac23-e9ca8c7dd010,2024-01-02T13:10:00+00:00,Overnight,5129.95
e7b125e4-fc9c-488b-9bdb-b9178e16ebf4,39102e3c-41a0-4eaa-bbd3-21c3cd3d3a0d,2024-01-02T13:15:00+00:00,Standard,3899.96
ce08d7d8-5a6a-499b-822e-63fabe83f12b,79111a7d-42e8-4756-a200-8b06ee4673f1,2024-01-02T14:15:00+00:00,Standard,3464.95
92b7c9cc-8159-4bad-8ba6-a1415ecea771,1d45ddca-993c-47ec-91cc-0cc5df17ddaf,2024-01-03T14:15:00+00:00,Two-Day,2449.94
d88effe6-631f-43d4-9ba1-3c6021b33da2,826fb1c6-6d63-4a30-8d9c-c1ae8ebeea15,2024-01-03T15:15:00+00:00,Overnight,1139.97
006c8e6a-ccfe-45bb-9717-3419b2f14df2,23a5c3af-f0d4-486b-a756-a1749c63fa3f,2024-01-03T16:15:00+00:00,Standard,3709.87
8810c3f3-059b-4450-add1-c54faabcf652,0566d2f9-9700-4c77-a595-6da3ad7a6b41,2024-01-04T16:15:00+00:00,Expedited,4699.93
7c1c5031-91b5-4fe5-9a24-89642ba94eb5,e2a54987-b8a4-4e71-b903-7d6ddb37631d,2024-01-04T16:20:00+00:00,Overnight,854.97
9ff38dda-d152-4043-a77f-0a7aaa1e3ac3,d396d293-1c77-46ad-94c4-4503f2ebba1b,2024-01-04T17:20:00+00:00,Two-Day,3889.89
879a9866-1899-4b30-8161-3d4bd1e9df81,87e2a2bf-bd67-47a6-8079-c60ca341b2be,2024-01-04T17:25:00+00:00,Two-Day,256.47
69749120-eb03-4344-87d3-68120c3bc938,f068720b-ff9c-4f55-9e03-795205a5531a,2024-01-04T18:25:00+00:00,Expedited,923.92
a53d067c-ac08-4b31-ac72-159c46385683,e3569694-b348-4200-9f37-dabf4d5d6dda,2024-01-05T18:25:00+00:00,Overnight,5249.9
f5934d2d-4494-4230-9655-015bce648efd,3a9cd354-a35d-4c58-8602-6a9067b38a7f,2024-01-06T18:25:00+00:00,Two-Day,459.97
412b8adf-56fe-453e-b1b4-d1bcd69ff973,5024044c-e689-4d62-b003-12399dfaa400,2024-01-07T18:25:00+00:00,Expedited,3286.92
4f32fca3-bee8-468a-ad91-9ada4ecac2af,a7eee55f-76f9-4d82-a102-82d93dc9379c,2024-01-07T19:25:00+00:00,Standard,2909.95
1bc38669-b643-4973-a38f-a1ad34b3ea31,aa8e5339-4dfb-4fa6-a1da-c6448ad3a7ac,2024-01-08T19:25:00+00:00,Two-Day,262.47
7de4ea2d-4e34-433a-8116-1d1955c70c68,d8e2ace9-88c6-479d-91fd-aad591a1541f,2024-01-08T19:30:00+00:00,Two-Day,788.42
d1cf11bf-c7da-42e8-b7b7-0bb17530d875,1dc38e31-ba79-4331-831c-778ddf50a30a,2024-01-08T20:30:00+00:00,Two-Day,524.98
a347d7a6-7392-425d-ba31-9916e67a8b9f,fc13f7f0-0884-4b99-a902-ae2c27227fa4,2024-01-08T21:30:00+00:00,Two-Day,56.99
bd78e03d-7b8f-46c5-963a-236ca250056e,49e4e49f-1b98-43e0-88d5-d2d6e5cb7866,2024-01-09T21:30:00+00:00,Two-Day,5642.42
9d0d34cf-3d46-4639-a164-44780e3bc81f,6bf6df47-ec25-4112-b383-6f587063b0a6,2024-01-09T22:30:00+00:00,Expedited,655.45
e9d8906f-d97d-49a0-a221-bbd192000d4b,898e0a4a-5aa4-4582-aa19-f6f7ed61cc88,2024-01-09T22:35:00+00:00,Expedited,5009.92
2c4b29b6-9b09-4f89-8b97-aff624880478,a375bc50-f827-4a52-bbce-3a4b0f3d4e3a,2024-01-09T23:35:00+00:00,Overnight,689.96
f8eb1cbd-e21b-4a19-acb3-bfbac18250f5,4827fbfc-e3a5-4970-b671-f9da67075550,2024-01-10T23:35:00+00:00,Two-Day,2152.42
4d704291-a3fb-4ab8-87af-f8e0d258186b,89d512ce-a454-4349-a06a-e7dc83974b7e,2024-01-11T23:35:00+00:00,Two-Day,6699.91
2003e47e-1697-4085-9ae0-c48c89ce9fee,62e8f994-f7ac-4d41-95f7-176e475ac850,2024-01-11T23:40:00+00:00,Overnight,2619.94
7e443f64-3427-44f8-a45c-bce5f037492e,2dbb96cd-b313-40f9-b3bc-9bd0d872c49c,2024-01-12T23:40:00+00:00,Two-Day,136.49
40d50395-61eb-4859-85e1-d69c29060f8d,b4d061f6-858a-422c-8dc1-9d4316b785e0,2024-01-13T00:40:00+00:00,Expedited,2073.42
e9c550c7-7ce7-4aee-9e18-4823297a1cf6,89b57ea7-cdbb-44c3-be26-0156bf1c5abb,2024-01-14T00:40:00+00:00,Expedited,2099.94
e325717c-09d7-4c79-9326-991d00427652,408bf421-f7c5-4833-a54c-cd2da2da499d,2024-01-14T00:45:00+00:00,Two-Day,2414.93
3d8b7171-fec0-4319-9a53-d791f28e9828,7b6e2572-c080-4b35-aa02-5b28207d1d79,2024-01-15T00:45:00+00:00,Overnight,3099.88
0683a035-2a63-4055-94ea-06c012ff69b4,93bc7ad2-cce6-4ed0-8868-64849e8f8ece,2024-01-15T00:50:00+00:00,Two-Day,62.98
