transaction_id,product_id,quantity,price
e0aee43a-9b32-4fdc-b5be-50bc8b662b60,98117fc3-01c2-426b-aa50-c058a7b82e20,3,209.99
e0aee43a-9b32-4fdc-b5be-50bc8b662b60,573b0056-83ac-4bba-b6b7-97d47225fa34,3,157.49
e0aee43a-9b32-4fdc-b5be-50bc8b662b60,f13fee3e-80cc-4be8-bd4f-cccf7f9240c1,2,262.49
2a86617d-0b71-440e-b318-f81440bc245c,71106cc6-8cf7-47a3-bb1b-214e2ce44003,3,199.99
2a86617d-0b71-440e-b318-f81440bc245c,7195f4aa-5a44-4f34-9489-48cc0650f602,3,129.99
2a86617d-0b71-440e-b318-f81440bc245c,e3f96ecc-1e5a-41be-a0ad-be889af08c62,1,129.99
2a86617d-0b71-440e-b318-f81440bc245c,08a05ef0-b1df-4b5d-ad6c-e9ee300a8864,2,39.99
ead51153-b4b0-4071-ab72-ce0eab53f6da,988338f2-5c8f-490f-836f-0b5814cc04ae,3,854.99
ead51153-b4b0-4071-ab72-ce0eab53f6da,c6958baf-6408-4815-8901-1384ec35414a,3,474.99
170f8c30-ac07-4aa2-aab9-ddcb0bf39a84,b19e9be6-77d7-433d-b362-5614da0ba18c,3,1139.99
170f8c30-ac07-4aa2-aab9-ddcb0bf39a84,89af6fc9-86c2-4dab-b8ae-c672343fd2ed,2,854.99
e7b125e4-fc9c-488b-9bdb-b9178e16ebf4,b16a1b51-8355-4115-abbb-33f524106ba8,3,999.99
e7b125e4-fc9c-488b-9bdb-b9178e16ebf4,ba2415fd-71e3-4f2e-9608-4aef5763a18f,1,899.99
ce08d7d8-5a6a-499b-822e-63fabe83f12b,4ca6bf62-8334-4955-be1f-a57f0f630b0a,2,157.49
ce08d7d8-5a6a-499b-822e-63fabe83f12b,5f329745-ae71-457a-99ad-c71b42acf85d,3,1049.99
92b7c9cc-8159-4bad-8ba6-a1415ecea771,2afd802e-2f30-4f96-b0bf-b70e274c678d,1,999.99
92b7c9cc-8159-4bad-8ba6-a1415ecea771,d0bbb836-4522-4647-8f32-90476830045a,3,149.99
92b7c9cc-8159-4bad-8ba6-a1415ecea771,5962d019-07f7-434b-a34c-3178aa3c3ad8,2,499.99
d88effe6-631f-43d4-9ba1-3c6021b33da2,35e38415-5faa-4c0d-8a72-42c467bfaf37,3,379.99
006c8e6a-ccfe-45bb-9717-3419b2f14df2,f20a71a4-628d-4c15-a553-3da45b2db6dd,3,19.99
006c8e6a-ccfe-45bb-9717-3419b2f14df2,9f1a873d-86d2-49ff-b8c0-59acf14a1be3,3,199.99
